Northern California,New York,Kansas,Texas,Hawaii,Banner,UPC
40.89,,34.89,35.19,,Trader Joes,645118810
33.29,29.49,,28.59,,Trader Joes,142252924
31.89,28.29,,27.49,,Trader Joes,45824749
0.99,,,0.89,,Trader Joes,499640947
39.99,,,34.39,,Trader Joes,920526931
9.09,,7.79,7.79,,Trader Joes,489000444
46.09,,,39.69,,Trader Joes,583814806
43.69,,,,,Trader Joes,842306029
40.49,35.89,,,,Trader Joes,998831540
4.89,,,4.19,,Trader Joes,488377803
50.99,45.19,43.49,43.89,,Trader Joes,688174297
5.69,,4.89,,,Trader Joes,659422945
24.69,,21.09,21.29,,Trader Joes,569684083
62.29,,,53.59,,Trader Joes,917901226
3.69,3.29,3.19,3.19,,Trader Joes,924190396
52.49,46.59,,45.19,,Trader Joes,177925497
58.49,,,50.39,,Trader Joes,568256903
5.19,4.59,,4.49,,Trader Joes,778682895
1.49,1.39,,1.29,,Trader Joes,509116779
15.19,,,13.09,,Trader Joes,663501723
63.49,,,54.59,,Trader Joes,945973686
3.49,,2.99,2.99,,Trader Joes,44053660
62.89,,,54.19,,Trader Joes,27866264
65.59,58.19,55.99,,,Trader Joes,492209870
45.39,40.29,38.69,,,Trader Joes,508453812
49.59,43.99,,42.69,,Trader Joes,895637329
56.39,,,48.49,,Trader Joes,200253393
15.19,,,13.09,,Trader Joes,456975266
27.69,,23.59,23.89,,Trader Joes,311693284
50.79,45.09,43.29,,,Trader Joes,764458897
36.29,32.19,30.89,31.19,,Trader Joes,977134983
10.69,,9.09,9.19,,Trader Joes,565170341
25.79,,,22.19,,Trader Joes,700041439
56.79,,,48.89,,Trader Joes,932170886
32.99,,28.19,28.49,,Trader Joes,430094535
22.59,,,19.39,,Trader Joes,912873332
43.69,,37.29,37.69,,Trader Joes,856365324
50.79,,,43.69,,Trader Joes,870595943
27.39,24.29,,23.59,,Trader Joes,549109328
30.49,,,26.29,,Trader Joes,154602616
37.69,,,32.39,,Trader Joes,373656227
56.99,,,49.09,,Trader Joes,534498710
21.69,,,18.69,,Trader Joes,517769564
5.09,,,4.39,,Trader Joes,266112120
50.09,44.39,,43.09,,Trader Joes,581614281
40.99,36.39,34.89,35.29,,Trader Joes,161725486
21.69,19.19,,18.69,,Trader Joes,585091176
7.89,6.99,6.69,6.79,,Trader Joes,157129774
51.19,,43.69,44.09,,Trader Joes,59479815
13.29,,,11.49,,Trader Joes,218958254
58.69,52.09,,50.59,,Trader Joes,881311707
11.89,,10.19,10.29,,Trader Joes,702239031
54.99,,,47.29,,Trader Joes,388544851
42.59,,,36.69,,Trader Joes,757501813
63.09,55.99,,54.39,,Trader Joes,193736714
12.09,10.69,,10.39,,Trader Joes,994344572
40.89,,,35.19,,Trader Joes,848280790
30.29,,,26.09,,Trader Joes,808976577
21.19,,,18.29,,Trader Joes,927693101
32.79,,27.99,,,Trader Joes,909199429
2.19,,,1.89,,Trader Joes,60168857
24.29,21.49,,20.89,,Trader Joes,896138462
56.59,,,48.79,,Trader Joes,451469731
57.49,,,49.49,,Trader Joes,849425547
23.49,,,20.19,,Trader Joes,277394644
27.09,,23.09,23.29,,Trader Joes,126967843
53.19,,45.39,45.79,,Trader Joes,394331468
57.59,,,49.59,,Trader Joes,299905463
58.69,,,50.59,,Trader Joes,298650567
16.59,,14.19,14.29,,Trader Joes,650943158
44.19,,37.69,37.99,,Trader Joes,769464973
20.79,,17.69,17.89,,Trader Joes,928259579
12.99,,,11.19,,Trader Joes,98164748
7.19,,,6.19,,Trader Joes,514805290
11.49,10.19,9.79,9.89,,Trader Joes,477240979
3.29,,,2.79,,Trader Joes,541222561
66.39,,,57.19,,Trader Joes,676268953
38.99,,,33.59,,Trader Joes,980564443
43.39,,,37.39,,Trader Joes,310210791
35.19,,29.99,30.29,,Trader Joes,440309024
58.19,51.59,49.59,50.09,,Trader Joes,304468559
61.69,54.79,52.59,,,Trader Joes,470178735
14.29,,12.19,,,Trader Joes,93351329
29.79,,,25.69,,Trader Joes,641131808
54.29,,,46.79,,Trader Joes,789649867
22.59,,19.29,19.49,,Trader Joes,819121025
37.69,33.39,,32.39,,Trader Joes,95866554
42.89,38.09,,36.99,,Trader Joes,250622702
57.69,,,49.69,,Trader Joes,768900012
42.49,37.69,36.19,36.59,,Trader Joes,44276570
41.99,37.29,35.79,36.19,,Trader Joes,387431034
63.89,56.69,54.49,54.99,,Trader Joes,266788198
40.79,36.19,,35.19,,Trader Joes,392781848
20.09,,,,,Trader Joes,688858216
31.39,,,27.09,,Trader Joes,644054876
66.19,58.69,56.39,56.99,,Trader Joes,981510405
23.49,20.79,,20.19,,Trader Joes,480476230
64.29,56.99,54.79,55.29,,Trader Joes,692276824
17.49,,,14.99,,Trader Joes,714264288
39.49,35.09,33.69,33.99,,Trader Joes,81927167
8.79,7.79,7.49,7.59,,Trader Joes,748626363
7.09,,6.09,6.19,,Trader Joes,643629043
2.49,,,2.19,,Trader Joes,784408530
45.69,40.49,,39.29,,Trader Joes,853687097
46.09,,,39.69,,Trader Joes,285195716
32.99,,,28.39,,Trader Joes,364526351
63.19,,,54.49,,Trader Joes,436491453
42.89,38.09,,36.99,,Trader Joes,897422303
58.69,51.99,49.99,50.49,,Trader Joes,952287274
43.29,,,37.29,,Trader Joes,95658838
1.79,,,1.59,,Trader Joes,762004012
65.19,,,56.19,,Trader Joes,835193761
62.89,55.79,53.59,54.19,,Trader Joes,295208432
41.59,,,35.79,,Trader Joes,164485660
66.39,,56.59,,,Trader Joes,768879663
59.19,52.49,,50.99,,Trader Joes,81313305
38.69,,32.99,33.39,,Trader Joes,831054514
40.19,,34.29,34.59,,Trader Joes,286798599
35.19,31.19,29.99,,,Trader Joes,526212256
58.19,,,50.09,,Trader Joes,627831552
41.79,37.09,,35.99,,Trader Joes,221349675
8.89,,,7.69,,Trader Joes,21872584
0.99,,0.79,0.79,,Trader Joes,557637639
29.59,,,25.49,,Trader Joes,361415663
41.49,36.89,,35.79,,Trader Joes,958194401
5.59,4.99,,4.89,,Trader Joes,383194572
66.89,59.39,,,,Trader Joes,888666503
34.49,,29.39,29.69,,Trader Joes,132458395
37.09,,31.69,31.99,,Trader Joes,829968022
41.89,,35.69,36.09,,Trader Joes,988776021
36.99,32.89,31.59,31.89,,Trader Joes,736362595
9.99,8.89,,,,Trader Joes,987897892
37.19,32.99,31.69,31.99,,Trader Joes,785234168
46.09,40.89,39.29,39.69,,Trader Joes,54548062
56.69,50.29,48.39,,,Trader Joes,60912855
9.09,,7.79,7.89,,Trader Joes,71726448
52.29,46.39,,44.99,,Trader Joes,817674221
2.99,,,2.59,,Trader Joes,70848410
10.69,9.49,,9.19,,Trader Joes,579355486
36.09,,30.79,31.09,,Trader Joes,130358296
30.69,27.19,26.19,26.49,,Trader Joes,518047270
28.19,,,24.29,,Trader Joes,894764703
58.89,52.19,,50.69,,Trader Joes,120596009
21.09,18.79,,18.19,,Trader Joes,943281894
13.09,,11.19,11.29,,Trader Joes,927312846
43.09,38.19,36.69,37.09,,Trader Joes,172380215
46.99,41.69,,40.49,,Trader Joes,804094528
39.09,,,33.59,,Trader Joes,244899396
28.39,,24.19,,,Trader Joes,256001467
44.69,39.69,38.09,38.49,,Trader Joes,641701426
39.39,34.99,,33.99,,Trader Joes,213387822
37.39,,31.89,32.19,,Trader Joes,959211839
43.49,,37.09,37.49,,Trader Joes,872889619
13.69,12.19,11.69,11.79,,Trader Joes,447640332
48.29,,,41.59,,Trader Joes,690308756
27.29,,23.29,23.49,,Trader Joes,47158754
17.09,,,14.79,,Trader Joes,885481376
63.99,,,,,Trader Joes,495847520
54.19,,,46.69,,Trader Joes,287415946
51.49,,,,,Trader Joes,442236507
52.39,,44.69,45.19,,Trader Joes,395790602
4.89,,,,,Trader Joes,790066655
15.59,13.79,,13.39,,Trader Joes,136528713
12.59,11.19,,10.79,,Trader Joes,695599406
31.69,28.19,,27.29,,Trader Joes,727229928
18.69,,,16.09,,Trader Joes,765958220
57.19,,48.79,49.29,,Trader Joes,466810890
46.49,,39.69,40.09,,Trader Joes,571419391
16.39,14.59,13.99,14.19,,Trader Joes,246585815
14.79,13.09,,12.79,,Trader Joes,142231691
45.09,,,38.79,,Trader Joes,321130189
53.19,,,45.79,,Trader Joes,494020899
23.39,,,20.19,,Trader Joes,944430721
51.59,,43.99,44.39,,Trader Joes,791901779
19.09,,,16.49,,Trader Joes,599052834
57.89,,49.29,49.79,,Trader Joes,531867954
51.19,,,44.09,,Trader Joes,958465158
46.59,,39.69,,,Trader Joes,975793603
61.49,54.59,,52.99,,Trader Joes,350639776
43.79,38.89,37.39,37.79,,Trader Joes,514293895
35.79,31.79,30.49,30.79,,Trader Joes,299791600
20.99,,17.89,18.09,,Trader Joes,876226151
17.69,15.69,,15.29,,Trader Joes,252280717
33.39,,28.49,28.79,,Trader Joes,500505797
52.99,46.99,45.09,45.59,,Trader Joes,303530277
15.09,,,,,Trader Joes,243934119
66.09,58.69,,56.89,,Trader Joes,873270447
46.39,,,39.99,,Trader Joes,676274385
16.59,14.79,14.19,14.29,,Trader Joes,790024227
59.39,52.69,,51.09,,Trader Joes,272466316
41.59,,,35.79,,Trader Joes,451026029
44.79,39.79,,38.59,,Trader Joes,475672709
20.99,,,18.09,,Trader Joes,817162115
7.69,,6.59,,,Trader Joes,647962512
36.39,,,31.39,,Trader Joes,614172105
62.69,,53.49,53.99,,Trader Joes,549838046
30.09,26.69,,25.89,,Trader Joes,932864695
60.09,,,,,Trader Joes,176351627
42.99,38.19,,36.99,,Trader Joes,383193164
38.49,,32.79,33.19,,Trader Joes,481195187
64.79,,55.29,55.79,,Trader Joes,39408244
46.19,,,39.79,,Trader Joes,311226396
27.29,,,23.49,,Trader Joes,360754991
14.59,12.99,,12.59,,Trader Joes,426268457
16.39,14.49,13.99,14.09,,Trader Joes,789986401
3.89,3.49,,3.39,,Trader Joes,701377201
16.79,,,14.49,,Trader Joes,25023603
43.59,,,37.59,,Trader Joes,314205929
63.59,,,54.79,,Trader Joes,162045248
12.29,10.89,10.49,10.59,,Trader Joes,286906735
50.49,,,43.49,,Trader Joes,753436797
34.79,,,29.99,,Trader Joes,783399454
22.29,,,19.19,,Trader Joes,26132370
32.59,,,28.09,,Trader Joes,197321036
60.19,,,,,Trader Joes,15052612
16.89,,10.99,11.09,,Safeway,286906735
8.89,,,7.69,,Safeway,672429356
57.69,,49.19,49.69,,Safeway,506754007
3.49,,2.99,3.09,,Safeway,421047592
9.39,,7.99,8.09,,Safeway,555173446
27.89,,,23.99,,Safeway,399409590
24.19,,20.59,20.79,,Safeway,361981249
46.09,,39.29,39.69,,Safeway,514293895
20.09,,,17.29,,Safeway,599052834
22.99,,19.59,19.79,,Safeway,677674656
13.99,,11.89,12.09,,Safeway,218958254
11.29,,,9.69,,Safeway,565170341
65.79,,,56.59,,Safeway,987411986
39.09,,33.29,,,Safeway,829968022
31.79,,27.09,27.39,,Safeway,129833275
29.79,,25.39,25.69,,Safeway,256001467
28.79,,24.59,24.79,,Safeway,836817411
59.09,,50.39,50.89,,Safeway,300705072
8.29,,7.09,7.09,,Safeway,157129774
1.89,,1.59,1.59,,Safeway,694468735
68.79,,58.59,59.19,,Safeway,269567447
14.49,,,12.49,,Safeway,503736553
18.19,,15.49,15.69,,Safeway,907400779
58.59,,49.99,50.49,,Safeway,637471150
37.99,,32.39,32.79,,Safeway,750854309
13.59,,,11.69,,Safeway,95862680
9.69,,8.29,,,Safeway,371889838
66.49,,,57.19,,Safeway,995798889
29.59,,25.29,,,Safeway,894764703
17.19,,14.69,14.79,,Safeway,789986401
24.99,,,21.49,,Safeway,855000437
32.99,,28.09,,,Safeway,678539677
6.09,,5.19,5.29,,Safeway,68034486
32.99,,28.19,28.49,,Safeway,644054876
36.29,,30.99,31.29,,Safeway,962019991
66.19,,56.39,56.99,,Safeway,27866264
39.59,,33.79,34.09,,Safeway,95866554
61.79,,52.69,53.19,,Safeway,861871758
13.69,,11.69,11.79,,Safeway,69584995
68.49,,58.39,58.99,,Safeway,437067209
17.89,,15.29,15.39,,Safeway,306887951
9.39,,7.99,8.09,,Safeway,16729338
47.09,,40.19,40.59,,Safeway,312588009
49.39,,,42.59,,Safeway,831639757
69.99,,59.59,,,Safeway,421176959
45.79,,39.09,,,Safeway,314205929
22.09,,18.79,18.99,,Safeway,817162115
40.29,,48.89,49.39,,Safeway,269161785
33.09,,,28.49,,Safeway,832713642
40.19,,34.19,34.59,,Safeway,445351739
15.49,,13.19,,,Safeway,440219593
60.39,,51.49,51.99,,Safeway,849425547
53.29,,45.49,,,Safeway,904714463
15.09,,,12.99,,Safeway,387815880
38.79,,33.09,33.39,,Safeway,61566790
7.49,,6.39,6.49,,Safeway,643629043
15.39,,13.19,13.29,,Safeway,930355523
46.59,,,40.19,,Safeway,808274867
52.39,,44.69,,,Safeway,992125856
20.89,,,17.99,,Safeway,870721732
2.29,,1.99,1.99,,Safeway,375780233
22.39,,19.09,19.29,,Safeway,744486125
37.69,,32.09,32.49,,Safeway,119616993
37.89,,32.29,32.69,,Safeway,130358296
17.29,,14.69,14.89,,Safeway,826771870
6.19,,5.29,5.29,,Safeway,861024387
9.39,,,8.09,,Safeway,296847415
17.49,,14.89,,,Safeway,650943158
16.39,,,14.09,,Safeway,136528713
32.09,,27.29,27.59,,Safeway,154602616
48.59,,41.39,41.89,,Safeway,311513952
35.29,,30.09,30.39,,Safeway,300970093
25.89,,22.09,,,Safeway,110497121
65.99,,,,,Safeway,549838046
26.69,,22.79,22.99,,Safeway,61278034
43.39,,36.99,37.39,,Safeway,768547166
11.39,,,9.79,,Safeway,628622442
36.29,,30.89,31.29,,Safeway,327660050
20.09,,17.19,,,Safeway,278354885
57.79,,49.29,49.79,,Safeway,388544851
45.49,,38.79,39.19,,Safeway,38399923
34.99,,29.79,30.09,,Safeway,142252924
58.19,,49.59,50.09,,Safeway,22976162
6.09,,,5.19,,Safeway,11873171
26.49,,22.59,22.79,,Safeway,694669999
23.49,,20.09,20.29,,Safeway,127821311
38.69,,32.99,33.29,,Safeway,771066892
59.79,,50.99,51.49,,Safeway,86262532
42.29,,35.99,36.39,,Safeway,286798599
33.39,,28.49,28.79,,Safeway,472559312
9.29,,7.89,7.99,,Safeway,737000536
62.99,,53.69,54.29,,Safeway,955026913
17.99,,15.29,15.49,,Safeway,667968672
24.69,,21.09,21.29,,Safeway,236968723
60.89,,51.89,52.39,,Safeway,854689154
18.89,,16.09,16.29,,Safeway,418444428
68.49,,58.39,58.99,,Safeway,976976235
18.99,,,16.29,,Safeway,303796970
46.29,,39.39,,,Safeway,405988807
57.59,,49.09,,,Safeway,145210517
51.69,,44.09,44.49,,Safeway,70324549
32.49,,27.69,27.99,,Safeway,277014097
68.19,,58.19,58.69,,Safeway,353626798
34.19,,29.09,,,Safeway,535286391
57.89,,49.39,49.89,,Safeway,685061388
38.99,,33.19,,,Safeway,240879755
60.79,,51.89,52.39,,Safeway,531867954
21.79,,18.59,18.79,,Safeway,928259579
28.69,,24.49,24.69,,Safeway,365630841
2.69,,2.29,2.29,,Safeway,784408530
23.49,,,20.19,,Safeway,26132370
13.59,,11.59,11.79,,Safeway,98164748
53.39,,45.49,45.99,,Safeway,963229417
6.19,,5.29,,,Safeway,886012244
26.39,,22.59,,,Safeway,812817987
68.39,,,58.89,,Safeway,986134213
66.59,,56.69,57.29,,Safeway,773828271
28.69,,24.49,24.69,,Safeway,360754991
24.99,,21.29,21.49,,Safeway,447858500
57.19,,48.79,49.19,,Safeway,565229692
48.69,,41.49,,,Safeway,584200676
38.69,,32.99,33.29,,Safeway,965083187
48.49,,41.29,41.69,,Safeway,54548062
48.39,,41.29,41.69,,Safeway,187405236
69.59,,59.29,59.99,,Safeway,158953776
27.19,,23.19,23.39,,Safeway,645331356
33.49,,28.59,28.89,,Safeway,55833407
1.39,,1.19,1.19,,Safeway,979616943
13.79,,11.69,11.89,,Safeway,555531366
47.69,,,41.09,,Safeway,205812283
28.69,,24.49,24.69,,Safeway,47158754
56.29,,47.99,48.49,,Safeway,101201265
57.49,,48.99,49.49,,Safeway,342897052
55.09,,,47.49,,Safeway,475245085
63.79,,54.39,54.99,,Safeway,26959766
64.29,,54.79,55.39,,Safeway,857067649
5.89,,5.09,,,Safeway,383194572
60.69,,,52.29,,Safeway,768900012
52.89,,45.09,45.59,,Safeway,745790660
65.69,,55.99,,,Safeway,587031338
61.89,,52.79,53.29,,Safeway,999185078
41.69,,35.49,35.89,,Safeway,460807284
38.09,,32.49,,,Safeway,977134983
12.39,,10.59,10.69,,Safeway,571896895
66.69,,56.89,57.49,,Safeway,945973686
65.39,,55.79,56.29,,Safeway,582451335
38.49,,32.79,33.09,,Safeway,240924482
64.69,,55.09,55.69,,Safeway,350639776
30.89,,26.29,26.59,,Safeway,685715810
29.59,,25.19,25.49,,Safeway,966125119
55.99,,47.69,,,Safeway,394331468
17.29,,14.79,,,Safeway,470692001
6.19,,5.29,5.29,,Safeway,16999755
52.69,,44.99,45.39,,Safeway,549873373
3.39,,2.89,,,Safeway,541222561
61.69,,52.59,53.09,,Safeway,952287274
15.89,,13.59,13.69,,Safeway,243934119
28.39,,24.29,24.49,,Safeway,126967843
53.49,,45.59,46.09,,Safeway,325836526
11.89,,10.19,,,Safeway,120290503
21.89,,18.69,18.89,,Safeway,441168504
52.09,,44.39,44.89,,Safeway,981197816
36.19,,30.89,31.19,,Safeway,56176612
53.89,,45.99,,,Safeway,275219414
42.29,,,36.49,,Safeway,212886542
43.49,,,37.39,,Safeway,441453292
22.29,,,19.19,,Safeway,927693101
61.19,,52.19,52.69,,Safeway,304468559
18.19,,15.49,15.69,,Safeway,702868026
64.19,,54.69,55.29,,Safeway,504139198
8.09,,6.99,6.99,,Safeway,838729004
18.59,,15.89,,,Safeway,252280717
35.09,,29.89,30.29,,Safeway,500505797
53.59,,45.69,46.19,,Safeway,688174297
55.09,,46.99,47.49,,Safeway,395790602
40.59,,34.59,34.89,,Safeway,542244776
3.59,,3.09,3.09,,Safeway,17066659
53.99,,45.99,46.49,,Safeway,762710881
11.09,,9.49,9.59,,Safeway,825958722
15.09,,12.89,12.99,,Safeway,426909634
4.69,,3.99,,,Safeway,554693845
47.49,,40.49,40.89,,Safeway,995745822
28.79,,24.59,,,Safeway,859607186
23.69,,20.19,,,Safeway,151287985
45.09,,38.49,,,Safeway,897422303
31.89,,,27.49,,Safeway,808976577
43.99,,37.49,,,Safeway,196109651
50.59,,43.19,43.59,,Safeway,849702242
7.99,,6.79,6.89,,Safeway,227635624
48.29,,41.09,41.59,,Safeway,74029795
22.69,,19.29,,,Safeway,285189163
22.29,,18.99,19.19,,Safeway,213048650
5.99,,5.09,5.19,,Safeway,659422945
20.49,,17.49,17.69,,Safeway,726593797
28.69,,24.49,,,Safeway,374144563
15.89,,13.49,13.69,,Safeway,604540867
53.39,,,45.99,,Safeway,980113553
44.79,,38.19,38.59,,Safeway,303748850
37.69,,,32.49,,Safeway,476935693
28.29,,,24.39,,Safeway,986041768
4.19,,3.59,3.59,,Safeway,16829288
2.19,,1.89,1.89,,Safeway,888354959
67.09,,57.19,57.79,,Safeway,797375865
30.19,,25.69,25.99,,Safeway,306137567
23.89,,20.39,20.59,,Safeway,929338551
12.39,,10.59,10.69,,Safeway,633357974
70.09,,59.69,60.29,,Safeway,715494692
19.39,,,16.69,,Safeway,674159443
53.09,,,45.69,,Safeway,753436797
43.39,,36.99,37.29,,Safeway,574686428
39.49,,33.59,,,Safeway,599921977
43.69,,,37.59,,Safeway,958194401
50.79,,,43.79,,Safeway,690308756
7.59,,6.49,6.49,,Safeway,277132090
68.29,,58.19,58.79,,Safeway,932644749
65.69,,55.99,56.59,,Safeway,144644625
24.49,,20.89,21.09,,Safeway,395515572
28.19,,23.99,,,Safeway,262051609
69.09,,58.89,59.49,,Safeway,946880003
18.89,,16.09,16.29,,Safeway,805082512
27.79,,23.69,23.99,,Safeway,333967502
46.99,,40.09,,,Safeway,127838957
13.69,,,11.79,,Safeway,996849471
22.29,,18.99,19.19,,Safeway,852479948
24.49,,20.89,21.09,,Safeway,435304991
34.19,,29.19,29.49,,Safeway,16900911
22.69,,19.39,19.59,,Safeway,115104280
6.19,,5.29,5.39,,Safeway,363196884
43.49,,37.09,37.49,,Safeway,321012038
39.59,,33.79,34.09,,Safeway,373656227
44.79,,38.19,,,Safeway,509419735
47.39,,,40.79,,Safeway,321130189
21.39,,18.29,18.49,,Safeway,848007798
22.09,,18.79,,,Safeway,308185637
59.59,,50.79,51.29,,Safeway,224558960
60.49,,51.49,52.09,,Safeway,441947799
46.49,,,39.99,,Safeway,758967619
47.69,,40.69,41.09,,Safeway,339765937
37.59,,,,,Safeway,299791600
69.79,,,60.09,,Safeway,768879663
45.59,,38.79,39.19,,Safeway,95658838
28.79,,24.49,24.79,,Safeway,576244412
47.49,,40.49,40.89,,Safeway,414105716
30.09,,25.59,,,Safeway,186497742
60.09,,51.19,,,Safeway,702065059
20.99,,17.89,18.09,,Safeway,538593323
45.19,,38.59,38.89,,Safeway,383193164
24.09,,20.59,20.79,,Safeway,220433295
54.79,,46.69,47.19,,Safeway,557394018
40.79,,,35.09,,Safeway,992105314
19.69,,16.79,16.99,,Safeway,765958220
32.19,,27.39,27.69,,Safeway,40555797
13.79,,,11.89,,Safeway,927312846
26.59,,22.69,22.89,,Safeway,967167461
25.99,,22.19,22.39,,Safeway,923314883
31.69,,26.99,27.29,,Safeway,932864695
28.79,,,24.79,,Safeway,437637358
29.79,,25.39,25.69,,Safeway,388197861
48.79,,,41.99,,Safeway,676274385
51.29,,43.69,44.09,,Safeway,790347148
10.79,,9.19,9.29,,Safeway,768628469
32.09,,27.39,27.69,,Safeway,654081535
20.69,,17.69,17.79,,Safeway,850860889
36.89,,,31.79,,Safeway,57394222
2.69,,2.29,2.29,,Safeway,535529908
27.89,,,23.99,,Safeway,612864775
19.09,,16.29,16.49,,Safeway,215480572
36.09,,,,,Safeway,228591095
45.79,,39.09,39.49,,Safeway,709096794
47.79,,40.79,41.19,,Safeway,866416138
30.39,,,26.19,,Safeway,894150291
61.09,,,52.59,,Safeway,917100992
34.89,,29.79,30.09,,Safeway,812264326
24.39,,20.79,20.99,,Safeway,888713764
34.39,,29.29,29.59,,Safeway,653798822
9.39,,8.09,,,Safeway,207648093
56.39,,48.09,48.59,,Safeway,436463728
48.19,,41.09,41.49,,Safeway,564734116
3.69,,3.19,3.19,,Safeway,44053660
27.09,,23.09,,,Safeway,245619737
36.49,,31.09,31.49,,Safeway,486482090
67.29,,57.39,57.99,,Safeway,383815591
52.49,,44.69,45.19,,Safeway,546802474
47.89,,40.79,41.19,,Safeway,827631041
42.19,,35.99,36.39,,Safeway,301161010
67.29,,57.29,57.89,,Safeway,99830442
57.89,,49.39,49.89,,Safeway,742030365
28.79,,24.59,24.79,,Safeway,891797170
59.79,,50.99,,,Safeway,79218866
5.49,,4.69,4.69,,Safeway,778682895
64.59,,55.09,55.59,,Safeway,629512894
50.79,,43.29,43.69,,Safeway,723419379
16.99,,14.49,14.59,,Safeway,339400596
14.39,,12.29,12.39,,Safeway,708419030
7.29,,6.29,6.29,,Safeway,918833743
31.59,,26.99,27.29,,Safeway,574404121
57.69,,,49.69,,Safeway,826777526
40.89,,34.89,35.29,,Safeway,189054973
23.69,,20.19,,,Safeway,912873332
39.39,,,33.89,,Safeway,743414051
59.59,,50.79,51.29,,Safeway,273984951
9.19,,7.89,7.89,,Safeway,748626363
45.69,,38.99,,,Safeway,872889619
15.19,,12.89,13.09,,Safeway,581030587
17.49,,14.89,15.09,,Safeway,790024227
36.59,,31.19,31.59,,Safeway,783399454
33.89,30.09,1.99,29.19,,Whole Foods,217512347
3.59,3.19,1.99,,,Whole Foods,541222561
63.99,56.79,,55.09,,Whole Foods,426540728
33.59,29.79,1.99,,,Whole Foods,757630984
64.79,57.49,1.99,,,Whole Foods,304468559
42.89,38.09,1.99,,,Whole Foods,481195187
25.69,22.79,1.99,,,Whole Foods,641206219
3.79,3.29,1.99,,,Whole Foods,651936351
35.49,31.49,1.99,30.59,,Whole Foods,45824749
54.29,62.69,1.99,46.69,,Whole Foods,790347148
65.49,58.09,1.99,56.39,,Whole Foods,120596009
46.59,41.29,1.99,40.09,,Whole Foods,196109651
39.19,34.79,1.99,,,Whole Foods,440309024
13.29,11.79,1.99,,,Whole Foods,26791818
11.09,9.79,1.99,,,Whole Foods,526069074
22.19,19.69,1.99,19.09,,Whole Foods,793865483
4.39,3.89,1.99,,,Whole Foods,701377201
49.99,44.39,1.99,42.99,,Whole Foods,479749486
21.89,19.49,1.99,18.89,,Whole Foods,850860889
61.69,,,,,Whole Foods,35072231
28.39,25.19,,24.39,,Whole Foods,795937333
33.49,29.69,1.99,28.89,,Whole Foods,932864695
13.19,11.79,1.99,11.39,,Whole Foods,702239031
40.39,,,,,Whole Foods,165254790
64.89,57.59,1.99,55.89,,Whole Foods,441404447
59.19,52.49,1.99,,,Whole Foods,494020899
1.19,1.09,1.99,,,Whole Foods,278739906
17.89,,1.99,,,Whole Foods,125829867
72.49,64.29,1.99,62.39,,Whole Foods,594035260
49.39,43.79,1.99,,,Whole Foods,808274867
38.39,34.09,1.99,,,Whole Foods,132458395
64.59,57.29,1.99,,,Whole Foods,486230490
20.59,18.29,1.99,,,Whole Foods,962420701
61.49,,1.99,,,Whole Foods,311149036
43.99,38.99,,37.89,,Whole Foods,81927167
55.49,49.29,,47.79,,Whole Foods,683028909
70.89,62.89,1.99,,,Whole Foods,616240709
7.19,6.39,1.99,6.19,,Whole Foods,152398257
63.09,55.99,1.99,54.39,,Whole Foods,273984951
45.89,40.69,1.99,39.49,,Whole Foods,489398729
22.19,19.69,1.99,19.09,,Whole Foods,870721732
70.49,62.49,1.99,60.69,,Whole Foods,773828271
21.29,18.89,1.99,,,Whole Foods,278354885
29.19,25.89,1.99,25.09,,Whole Foods,783845705
25.29,22.49,1.99,21.79,,Whole Foods,106365705
35.49,31.49,1.99,30.49,,Whole Foods,675134953
14.59,12.99,1.99,12.59,,Whole Foods,927312846
43.79,,1.99,37.79,,Whole Foods,658435562
33.99,30.19,1.99,,,Whole Foods,397250295
27.29,24.19,,,,Whole Foods,63494206
3.29,2.89,1.99,,,Whole Foods,70848410
65.39,57.99,1.99,56.29,,Whole Foods,881311707
48.59,43.09,1.99,,,Whole Foods,990258086
72.39,64.19,1.99,62.29,,Whole Foods,986134213
18.29,16.29,1.99,15.79,,Whole Foods,434688119
47.79,42.39,1.99,41.09,,Whole Foods,897422303
67.39,59.79,1.99,58.09,,Whole Foods,432934258
10.09,8.99,1.99,,,Whole Foods,71726448
38.69,34.29,,33.29,,Whole Foods,486482090
68.49,60.69,1.99,58.99,,Whole Foods,899819893
3.09,2.69,1.99,2.69,,Whole Foods,302256456
19.69,,1.99,16.99,,Whole Foods,252280717
9.89,8.79,1.99,8.59,,Whole Foods,21872584
34.59,30.69,1.99,29.79,,Whole Foods,503341824
3.79,3.39,1.99,3.29,,Whole Foods,906234211
55.79,49.49,1.99,,,Whole Foods,813117592
40.19,35.69,1.99,34.59,,Whole Foods,468699741
37.39,33.19,1.99,,,Whole Foods,300970093
9.79,8.69,1.99,8.49,,Whole Foods,737000536
5.19,4.69,1.99,,,Whole Foods,484526970
36.19,32.09,1.99,,,Whole Foods,171858013
55.19,48.99,1.99,47.59,,Whole Foods,242743338
57.09,50.69,1.99,49.19,,Whole Foods,620047925
70.79,62.79,1.99,60.99,,Whole Foods,162045248
36.99,32.89,1.99,,,Whole Foods,142252924
3.59,3.19,1.99,,,Whole Foods,371212986
48.69,43.19,1.99,41.89,,Whole Foods,229341656
14.59,12.89,1.99,12.49,,Whole Foods,555531366
25.99,23.09,1.99,,,Whole Foods,944430721
